old_url,action,new_url,priority,notes
https://www.promationusa.com/7483kxz,301,/screw-driving/et7483kxzc,P1,Legacy alias folded into ET7483KXZC model page per architecture 1.3 (overrides inventory promation-7483kxz slug)
https://www.promationusa.com/9101,301,/robotic-soldering/quick-9101,P1,"SLUG-CLEAN: descriptive slug per inventory, re-homed under category hub"
https://www.promationusa.com/9152n,301,/robotic-soldering/quick-9152n,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9153a,301,/robotic-soldering/quick-9153a,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9153n,301,/robotic-soldering/quick-9153n,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9153na,301,/robotic-soldering/quick-9153na,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9154n,301,/robotic-soldering/quick-9154n,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9154na,301,/robotic-soldering/quick-9154na,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9181,301,/robotic-soldering/quick-9181,P1,"SLUG-CLEAN: descriptive slug per inventory, re-homed under category hub"
https://www.promationusa.com/9244cj,301,/robotic-soldering/quick-9244cj,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9252d,301,/robotic-soldering/quick-9252d,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9252k,301,/robotic-soldering/quick-9252k,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9252n,301,/robotic-soldering/quick-9252n,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9253n,301,/robotic-soldering/quick-9253n,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9253na,301,/robotic-soldering/quick-9253na,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9254n,301,/robotic-soldering/quick-9254n,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9254na,301,/robotic-soldering/quick-9254na,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9264ec,301,/robotic-soldering/quick-9264ec,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9333-light-curtain,301,/robotic-soldering/quick-9333-light-curtain,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9334,301,/robotic-soldering/quick-9334,P1,"SLUG-CLEAN: descriptive slug per inventory, re-homed under category hub"
https://www.promationusa.com/9353n,301,/robotic-soldering/quick-9353n,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9353na,301,/robotic-soldering/quick-9353na,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9354n,301,/robotic-soldering/quick-9354n,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9354na,301,/robotic-soldering/quick-9354na,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9394f,301,/robotic-soldering/quick-9394f,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9433-vision,301,/robotic-soldering/quick-9433-vision,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9440-iru-infrared-preheating-robot,301,/robotic-soldering/quick-9440-iru-infrared-preheating-robot,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9453na,301,/robotic-soldering/quick-9453na,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9454n,301,/robotic-soldering/quick-9454n,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9454na,301,/robotic-soldering/quick-9454na,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9464,301,/robotic-soldering/quick-9464,P1,"SLUG-CLEAN: descriptive slug per inventory, re-homed under category hub"
https://www.promationusa.com/9494f,301,/robotic-soldering/quick-9494f,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9533y-dualslide,301,/robotic-soldering/quick-9533y-dualslide,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9534y-dualslide,301,/robotic-soldering/quick-9534y-dualslide,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9544cj,301,/robotic-soldering/quick-9544cj,P1,Re-homed under category hub per architecture
https://www.promationusa.com/9733d-pro-model,301,/robotic-soldering/quick-9733d,P1,REWRITE: page rebuilt with differentiated copy at new URL
https://www.promationusa.com/9744cj-pro-model,301,/robotic-soldering/quick-9744cj,P1,Re-homed under category hub per architecture
